Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Win,Loss,Earned run Average,Games played,Games Started,Complete Game
B Bonds,LF,2986,9847,2227,2935,601,77,762,1996,2558,1539,514,324,292,3.19,807,773,222
H Aaron,RF,3298,12364,2174,3771,624,98,755,2297,1402,1383,240,303,166,3.29,618,603,100
B Ruth,RF,2504,8399,2174,2873,506,136,714,2213,2062,1330,123,354,184,3.12,709,707,118
A Pujols,1B,3080,11421,1914,3384,686,16,703,2218,1373,1404,117,329,244,3.22,741,709,254
A Rodriguez,SS,2784,10566,2021,3115,548,31,696,2086,1338,2287,329,287,250,3.31,692,685,242
W Mays,CF,2992,10881,2062,3283,523,140,660,1903,1464,1526,338,311,205,2.86,656,647,231
K Griffey,CF,2671,9801,1662,2781,524,38,630,1836,1312,1779,184,324,256,3.26,774,756,178
J Thome,1B,2543,8422,1583,2328,451,26,612,1699,1747,2548,19,314,265,3.11,777,690,303
S Sosa,RF,2354,8813,1475,2408,379,45,609,1667,929,2306,234,417,279,2.17,802,666,531
F Robinson,RF,2808,10006,1829,2943,528,72,586,1812,1420,1532,204,355,227,3.16,744,740,109
M McGwire,1B,1874,6187,1167,1626,252,6,583,1414,1317,1596,12,318,274,3.35,864,716,245
H Killebrew,1B,2435,8147,1283,2086,290,24,573,1584,1559,1699,19,202,102,3.11,431,422,12
A Jones,CF,2196,7599,1204,1933,383,36,434,1289,891,1748,152,197,171,3.5,1071,361,100
C Ripken Jr.,SS,3001,11551,1647,3184,603,44,431,1695,1129,1305,36,211,144,3.28,486,476,72
M Piazza,C,1912,6911,1048,2127,344,8,427,1335,759,1113,17,165,87,2.76,397,314,137
B Williams,OF,2488,9350,1410,2711,434,88,426,1475,1045,1046,90,216,216,3.75,858,440,107
E Encarnaci?n,DH,1960,7040,1099,1832,370,10,424,1261,903,1426,61,286,245,3.41,676,609,305
D Evans,3B,2687,8973,1344,2223,329,36,414,1354,1605,1410,99,300,244,3.54,691,612,290
A Soriano,LF,1975,7750,1152,2095,481,31,412,1159,496,1803,289,193,143,2.16,407,340,261
M Teixeira,1B,1862,6936,1099,1862,408,18,409,1298,918,1441,26,243,142,2.89,471,457,244
D Snider,CF,2143,7161,1259,2116,358,85,407,1333,971,1237,99,188,147,3.92,448,446,18
